periodo,institucion,num_total,num_vigente,num_vencida,sdo_total,sdo_vigente,sdo_vencido,ID
201905,BBVA,301448,291944,9504,204014539,197789091,6225448,1
201904,BBVA,300504,290999,9505,201796632,195593847,6202785,1
201903,BBVA,299980,291623,8357,200486990,194968556,5518433,1
201902,BBVA,298869,289636,9233,198194871,192212966,5981905,1
201901,BBVA,298869,289636,9233,198194871,192212966,5981905,1
201812,BBVA,298135,288902,9233,194593012,188874438,5718574,1
201811,BBVA,297885,288521,9364,193111196,187327592,5783605,1
201810,BBVA,297273,288174,9099,191460075,185847137,5612938,1
201809,BBVA,297606,288887,8719,190336865,184952667,5384198,1
201808,BBVA,296878,287112,9766,188540135,182631116,5909019,1
201807,BBVA,296622,286739,9883,187441546,181500822,5940724,1
201806,BBVA,296800,288029,8771,186721942,181402036,5319906,1
201805,BBVA,297808,286619,11189,186174375,179507876,6666499,1
201804,BBVA,297691,287336,10355,185106810,178969580,6137230,1
201803,BBVA,297789,287158,10631,184472153,178190784,6281369,1
201802,BBVA,297417,286883,10534,183299562,177123127,6176435,1
201801,BBVA,297217,286552,10665,181232730,175155149,6077581,1
201712,BBVA,297406,286475,10931,180742411,174529370,6213041,1
201711,BBVA,297467,286399,11068,179811707,173551633,6260074,1
201710,BBVA,297195,286253,10942,178637512,172426612,6210900,1
201709,BBVA,297280,286235,11045,177950685,171622705,6327981,1
201708,BBVA,297666,286317,11349,177700928,170789409,6911518,1
201707,BBVA,297606,286351,11255,176821809,169898795,6923014,1
201706,BBVA,297939,286771,11168,176401367,169544238,6857129,1
201705,BBVA,298706,287484,11222,176374509,169437496,6937013,1
201704,BBVA,298386,287068,11318,175512246,168447322,7064924,1
201703,BBVA,298210,287202,11008,174619397,167711412,6907985,1
201702,BBVA,297915,286741,11174,173449492,166461191,6988301,1
201701,BBVA,297602,286293,11309,172373852,165295817,7078034,1
201612,BBVA,297751,286226,11525,170958272,163793708,7164563,1
201611,BBVA,297974,285997,11977,170175174,162728161,7447013,1
201610,BBVA,297744,285664,12080,169003255,161497793,7505462,1
201609,BBVA,297526,285418,12108,168024328,160436661,7587666,1
201608,BBVA,297452,285589,11863,166957152,159531594,7425558,1
201607,BBVA,297650,285749,11901,166328652,158832103,7496548,1
201606,BBVA,299115,285809,13306,166306636,158076268,8230367,1
201905,BM,959135,933013,26122,714237653,696229661,18007992,2
201904,BM,959026,933375,25651,707489551,689945414,17544137,2
201903,BM,957125,932543,24582,703712784,686798390,16914394,2
201902,BM,951060,925850,25210,696215291,678919466,17295825,2
201901,BM,949904,924909,24995,691848673,675124057,16724616,2
201812,BM,950617,925687,24930,687653559,671055553,16598006,2
201811,BM,946441,921809,24632,680248220,663947436,16300785,2
201810,BM,944907,921214,23693,674830374,659021692,15808682,2
201809,BM,943252,919643,23609,670732825,654994848,15737977,2
201808,BM,940257,915928,24329,663616356,647575620,16040735,2
201807,BM,938875,914241,24634,659786785,643580045,16206740,2
201806,BM,936861,913708,23153,654570915,639165974,15404941,2
201805,BM,935659,910199,25460,650244188,633572486,16671702,2
201804,BM,932767,908629,24138,643945154,628048201,15896953,2
201803,BM,930897,906700,24197,640923592,625047609,15875983,2
201802,BM,927845,903968,23877,635271050,619598845,15672204,2
201801,BM,925601,901809,23792,631024136,615621838,15402298,2
201712,BM,925864,901741,24123,627916465,612503940,15412525,2
201711,BM,922858,898454,24404,623196208,607746845,15449363,2
201710,BM,919445,895744,23701,617126563,602097491,15029072,2
201709,BM,916959,893557,23402,613343550,598457388,14886162,2
201708,BM,914560,891332,23228,607886038,592703946,15182092,2
201707,BM,911620,888789,22831,602649171,587727170,14922001,2
201706,BM,908891,886390,22501,597025493,582387078,14638414,2
201705,BM,964247,939400,24847,614232134,598755441,15476693,2
201704,BM,961484,937203,24281,608262147,592994097,15268050,2
201703,BM,960264,936157,24107,605137139,590010563,15126576,2
201702,BM,957022,932801,24221,597830690,582608917,15221772,2
201701,BM,954930,930528,24402,594291505,578958306,15333199,2
201612,BM,953890,929273,24617,588752487,573483080,15269407,2
201611,BM,952859,926821,26038,582928599,566800023,16128576,2
201610,BM,949467,923426,26041,576408028,560213893,16194136,2
201609,BM,946583,920935,25648,571958740,555855365,16103375,2
201608,BM,944270,919446,24824,566624765,550685868,15938897,2
201607,BM,941917,916956,24961,563329808,547234755,16095053,2
201606,BM,940523,914083,26440,557971217,541303670,16667547,2
