key,vsm_actual_x,SaldoInsolutoActual_x,PagosVencidosMeses_x,vsm_actual_y,SaldoInsolutoActual_y,PagosVencidosMeses_y,estado
0,2686.144,204.43,0,2686.144,203.19,0,Jalisco
1,2686.144,42.63,0,2686.144,42.78,0,Jalisco
2,2686.144,189.87,0,2686.144,190.63,0,Jalisco
3,2686.144,51.81,0,2686.144,52.0,0,Jalisco
4,2686.144,197.55,0,2686.144,194.85,0,Jalisco
5,2686.144,326.04,0,2686.144,328.79,0,Jalisco
6,2686.144,174.66,0,2686.144,175.42,0,Jalisco
7,2686.144,257.7,0,2686.144,258.76,0,Jalisco
8,2686.144,408.41,0,2686.144,405.85,0,Jalisco
9,2686.144,115.02,1,2686.144,114.24,0,Jalisco
10,2686.144,68.46,0,2686.144,69.51,0,Jalisco
11,2686.144,196.48,0,2686.144,200.86,0,Jalisco
12,2686.144,476.13,0,2686.144,478.11,0,Jalisco
13,2686.144,166.58,2,2686.144,166.01,1,Jalisco
14,2686.144,78.72,0,2686.144,79.0,0,Jalisco
15,2686.144,162.32,0,2686.144,162.99,0,Jalisco
16,2686.144,47.66,0,2686.144,47.84,0,Jalisco
17,2686.144,102.08,1,2686.144,102.93,0,Jalisco
18,2686.144,51.95,0,2686.144,52.76,0,Jalisco
19,2686.144,607.42,0,2686.144,616.52,0,Jalisco
20,2686.144,71.87,0,2686.144,72.12,0,Jalisco
21,2686.144,169.47,0,2686.144,170.17,0,Jalisco
22,2686.144,227.14,2,2686.144,230.35,2,Jalisco
23,2686.144,93.67,0,2686.144,94.05,0,Jalisco
24,2686.144,77.09,1,2686.144,77.36,0,Jalisco
25,2686.144,68.99,0,2686.144,69.24,0,Jalisco
26,2686.144,201.9,0,2686.144,204.93,0,Jalisco
27,2686.144,73.58,0,2686.144,75.12,0,Jalisco
28,2686.144,91.8,0,2686.144,94.02,0,Jalisco
29,2686.144,77.99,0,2686.144,78.24,0,Jalisco
30,2686.144,129.51,1,2686.144,128.72,0,Jalisco
31,2686.144,283.81,0,2686.144,284.98,0,Jalisco
32,2686.144,28.13,0,2686.144,28.56,0,Jalisco
33,2686.144,147.64,0,2686.144,146.63,0,Jalisco
34,2686.144,135.81,0,2686.144,136.83,0,Jalisco
35,2686.144,178.69,0,2686.144,179.46,0,Jalisco
36,2686.144,36.64,2,2686.144,36.35,1,Jalisco
37,2686.144,154.69,0,2686.144,155.66,0,Jalisco
38,2686.144,146.51,0,2686.144,146.97,0,Jalisco
39,2686.144,77.53,0,2686.144,78.16,0,Jalisco
40,2686.144,142.8,0,2686.144,143.36,0,Jalisco
41,2686.144,21.03,0,2686.144,45.38,0,Jalisco
42,2686.144,123.79,0,2686.144,125.65,0,Jalisco
43,2686.144,45.87,0,2686.144,47.73,0,Jalisco
44,2686.144,28.13,0,2686.144,28.23,0,Quintana Roo
45,2686.144,93.01,0,2686.144,94.21,1,Jalisco
46,2686.144,96.25,0,2686.144,96.67,0,Jalisco
47,2686.144,85.35,1,2686.144,86.79,1,Jalisco
48,2686.144,135.08,0,2686.144,135.62,0,Jalisco
49,2686.144,107.94,0,2686.144,108.83,0,Jalisco
50,2686.144,62.53,1,2686.144,62.77,0,Jalisco
51,2686.144,130.12,0,2686.144,130.64,0,Jalisco
52,2686.144,238.06,0,2686.144,238.96,0,Jalisco
53,2686.144,162.31,0,2686.144,162.92,0,Jalisco
54,2686.144,134.15,0,2686.144,134.73,0,Jalisco
55,2686.144,103.66,0,2686.144,104.08,0,Jalisco
56,2686.144,198.04,0,2686.144,199.02,0,Jalisco
57,2686.144,45.81,0,2686.144,46.61,0,Jalisco
58,2686.144,351.7,1,2686.144,353.27,0,Jalisco
59,2686.144,223.86,1,2686.144,225.01,0,Jalisco
60,2686.144,42.58,0,2686.144,42.73,0,Jalisco
61,2686.144,210.43,1,2686.144,211.35,0,Jalisco
62,2686.144,163.49,0,2686.144,171.68,0,Jalisco
63,2686.144,763.78,4,2686.144,753.4,3,Jalisco
64,2686.144,241.58,0,2686.144,242.51,0,Jalisco
65,2686.144,189.31,2,2686.144,189.27,1,Jalisco
66,2686.144,110.78,0,2686.144,113.15,0,Jalisco
67,2686.144,76.28,0,2686.144,76.52,0,Jalisco
68,2686.144,111.41,0,2686.144,113.08,0,Jalisco
69,2686.144,130.74,0,2686.144,131.27,0,Jalisco
70,2686.144,199.51,0,2686.144,200.31,0,Jalisco
71,2686.144,122.79,0,2686.144,123.31,0,Jalisco
72,2686.144,96.15,0,2686.144,96.96,0,Jalisco
73,2686.144,75.55,0,2686.144,75.79,0,Jalisco
74,2686.144,182.18,0,2686.144,182.9,0,Jalisco
75,2686.144,212.34,0,2686.144,213.17,0,Jalisco
76,2686.144,109.56,0,2686.144,110.42,0,Jalisco
77,2686.144,91.08,0,2686.144,92.44,1,Jalisco
78,2686.144,47.56,0,2686.144,48.73,0,San Luis Potosi
79,2686.144,101.94,0,2686.144,101.36,0,San Luis Potosi
80,2686.144,40.29,0,2686.144,42.65,0,San Luis Potosi
81,2686.144,148.26,0,2686.144,149.0,0,San Luis Potosi
82,2686.144,230.85,0,2686.144,231.96,0,San Luis Potosi
83,2686.144,40.81,0,2686.144,45.95,0,San Luis Potosi
84,2686.144,165.0,1,2686.144,164.06,1,San Luis Potosi
85,2686.144,181.2,0,2686.144,189.04,1,San Luis Potosi
86,2686.144,229.54,0,2686.144,228.35,0,San Luis Potosi
87,2686.144,76.19,0,2686.144,76.58,0,San Luis Potosi
88,2686.144,136.51,0,2686.144,137.84,0,San Luis Potosi
89,2686.144,215.22,0,2686.144,217.26,0,San Luis Potosi
90,2686.144,141.53,0,2686.144,142.19,0,San Luis Potosi
91,2686.144,146.13,0,2686.144,146.87,0,San Luis Potosi
92,2686.144,170.6,0,2686.144,171.41,0,San Luis Potosi
93,2686.144,114.07,0,2686.144,114.57,0,San Luis Potosi
94,2686.144,185.03,0,2686.144,184.21,0,San Luis Potosi
95,2686.144,154.0,1,2686.144,151.41,0,San Luis Potosi
96,2686.144,127.09,0,2686.144,128.31,0,San Luis Potosi
97,2686.144,127.56,0,2686.144,129.57,0,San Luis Potosi
98,2686.144,121.04,0,2686.144,121.64,0,San Luis Potosi
99,2686.144,252.39,0,2686.144,250.81,0,San Luis Potosi
100,2686.144,195.21,0,2686.144,196.1,0,San Luis Potosi
101,2686.144,152.76,1,2686.144,154.65,0,Jalisco
102,2686.144,113.03,0,2686.144,115.8,0,San Luis Potosi
103,2686.144,240.42,0,2686.144,241.52,0,San Luis Potosi
104,2686.144,121.61,0,2686.144,125.47,0,San Luis Potosi
105,2686.144,134.56,0,2686.144,135.16,0,San Luis Potosi
106,2686.144,176.54,0,2686.144,177.37,0,San Luis Potosi
107,2686.144,118.13,0,2686.144,121.19,0,San Luis Potosi
108,2686.144,126.05,0,2686.144,125.27,0,San Luis Potosi
109,2686.144,140.55,0,2686.144,141.21,0,San Luis Potosi
110,2686.144,59.25,0,2686.144,60.79,0,San Luis Potosi
111,2686.144,144.3,0,2686.144,146.84,0,San Luis Potosi
112,2686.144,150.36,0,2686.144,151.06,0,San Luis Potosi
113,2686.144,157.85,0,2686.144,158.59,0,San Luis Potosi
114,2686.144,217.42,0,2686.144,216.06,0,San Luis Potosi
