,Mes,Tasa Nal Desempleo
137,2016/06,3.93033896
138,2016/07,4.00708718
139,2016/08,4.0038332
140,2016/09,4.13839194
141,2016/10,3.67093013
142,2016/11,3.51486793
143,2016/12,3.3710286
144,2017/01,3.5924882
145,2017/02,3.3712941
146,2017/03,3.1887216
147,2017/04,3.46470519
148,2017/05,3.56226757
149,2017/06,3.2667071
150,2017/07,3.41034128
151,2017/08,3.52564758
152,2017/09,3.59753175
153,2017/10,3.50177064
154,2017/11,3.41921411
155,2017/12,3.12786122
156,2018/01,3.38919158
157,2018/02,3.20505718
158,2018/03,2.93962909
159,2018/04,3.398701
160,2018/05,3.22184807
161,2018/06,3.38527594
162,2018/07,3.47763888
163,2018/08,3.46852407
164,2018/09,3.60037254
165,2018/10,3.23839404
166,2018/11,3.26346553
167,2018/12,3.35449462
168,2019/01,3.56775405
169,2019/02,3.29943176
170,2019/03,3.24544326
171,2019/04,3.49959409
172,2019/05,3.51213517
